iter	Passed	Remaining
0	0	97
1	1	88
2	2	83
3	3	76
4	3	74
5	4	73
6	5	72
7	6	74
8	7	76
9	8	75
10	9	75
11	10	74
12	10	72
13	11	72
14	12	73
15	13	72
16	14	70
17	15	69
18	16	69
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	35	47
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	52	31
62	52	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
